filename,accumulations,exposure_s,gate_width_ns,gate_delay_ns,pressure,environment,optic,profile,center_nm,fwhm_nm,amplitude,peak_area,snr,ne_cm3,ne_method
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.13.48_5.asc,10,0.018,500,200,,,,Gaussian,657.1495941870248,5.351507451304873,2850.382524718873,16015.862810255376,11.029796658520294,3139497452863444.5,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.14.40_6.asc,10,0.018,600,200,,,,Gaussian,657.1649927475139,5.160847773358339,3162.4293237238935,17182.189356103525,10.62664000273939,2973208509730294.0,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.14.57_7.asc,10,0.018,700,200,,,,Gaussian,657.1167454321615,4.933253492928434,3241.2654079876825,16890.274467998133,10.442069267713977,2778696123545772.0,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.15.14_8.asc,10,0.018,800,200,,,,Gaussian,657.125296996127,4.869031822203528,3307.685689575408,17022.703087893453,10.424268224567466,2724607438593349.5,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.16.04_9.asc,10,0.018,900,200,,,,Gaussian,657.1153594803787,4.852608101166993,3749.3553519479688,19235.47679601946,10.172979772538497,2710832064808680.5,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.16.22_10.asc,10,0.018,1000,200,,,,Gaussian,657.0993473801244,4.6820470267412615,3956.4369242708526,19618.259629577664,10.173806877257096,2569158375838113.5,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.17.00_11.asc,10,0.018,1500,200,,,,Gaussian,657.0693378190387,4.502100804902016,3961.1651376380996,18915.893321727115,9.829695409419347,2422462223239249.5,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.18.10_12.asc,10,0.018,2000,200,,,,Gaussian,657.0408947930858,4.329688376264377,3651.8184978530385,16789.898269327183,9.729276998840147,2284630059772283.0,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.18.27_13.asc,10,0.018,2500,200,,,,Gaussian,657.053202882194,4.391805904689396,4250.607785214169,19815.739778922183,9.601992371472713,2333978519781985.5,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.18.43_14.asc,10,0.018,3000,200,,,,Gaussian,657.0390571386996,4.244420398911471,4871.223941827486,21964.36913453853,9.546630927389755,2217464897823616.0,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.19.03_15.asc,10,0.018,3500,200,,,,Gaussian,657.0549513526223,4.263112364878635,3958.392599779346,17924.54145586051,9.748517580470914,2232131257821551.2,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.19.19_16.asc,10,0.018,4000,200,,,,Gaussian,657.0568544305993,4.313991700517535,3952.342947368996,18106.123254980437,9.433282303709445,2272215762751926.0,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.19.33_17.asc,10,0.018,4500,200,,,,Gaussian,657.0471586316531,4.179240018161002,3809.2361221730644,16916.37943203092,9.802859128913893,2166574931050506.2,Simple power-law (8.02e12)
PVC_Air_GW_GD_200ns_ACM_10_100mJ_Halpha_Fri May 22 2026_13.19.48_18.asc,10,0.018,5000,200,6.0,Argon,Fiber,Gaussian,657.0562184678845,4.3378600715994695,3991.7417142315385,18385.56332192397,9.231867734981547,2291101864008192.5,Simple power-law (8.02e12)
